	head	tail	relation
0	/m/03gqb0k	/m/01r3hr	
1	/m/06tpmy	/m/02h40lc	
2	/m/02rrfzf	/m/05p553	
3	/m/0cc846d	/m/07ssc	
4	/m/0gr51	/m/0bzkvd	
5	/m/02pzc4	/m/026t6	
6	/m/0l15f_	/m/085jw	
7	/m/0x67	/m/01wd9lv	
8	/m/02w3w	/m/01kstn9	
9	/m/01sbv9	/m/016_mj	
10	/m/07xl34	/m/01rgdw	
11	/m/06hx2	/m/05l2z4	
12	/m/0jjy0	/m/015fr	
13	/m/03lgg	/m/01wp_jm	
14	/m/01w4dy	/m/0myk8	
15	/m/01cj6y	/m/011ysn	
16	/m/04f52jw	/m/06qd3	
17	/m/02183k	/m/01_9fk	
18	/m/017j69	/m/036dyy	
19	/m/019fm7	/m/03rk0	
20	/m/07twz	/m/0hzc9wc	
21	/m/0342h	/m/01vrx3g	
22	/m/0hskw	/m/02py4c8	
23	/m/0dq_5	/m/06q07	
24	/m/01pxcf	/m/09g7thr	
25	/m/0278x6s	/m/0c4f4	
26	/m/0ds11z	/m/0735l	
27	/m/04t53l	/m/014cw2	
28	/m/026g4l_	/m/0gq9h	
29	/m/02jm0n	/m/0gkvb7	
30	/m/011yfd	/m/02pqp12	
31	/m/0b7gr2	/m/04s04	
32	/m/0kr_t	/m/02f77l	
33	/m/06wbm8q	/m/01crd5	
34	/m/02j62	/m/036qs_	
35	/m/02g9p4	/m/01wf86y	
36	/m/0217m9	/m/06fvc	
37	/m/0169dl	/m/057xs89	
38	/m/09306z	/m/01cbt3	
39	/m/04ztj	/m/017gry	
40	/m/070yzk	/m/02h40lc	
41	/m/0h53p1	/m/09hd6f	
42	/m/03ym1	/m/01v9l67	
43	/m/02yvct	/m/03gj2	
44	/m/01dbns	/m/03g3w	
45	/m/0m593	/m/0d060g	
46	/m/07c52	/m/0992d9	
47	/m/01rlxt	/m/06qv_	
48	/m/02_j1w	/m/02b185	
49	/m/0mm1q	/m/04ztj	
50	/m/02v63m	/m/01jfsb	
51	/m/0353xq	/m/07ssc	
52	/m/0372p	/m/04gc2	
53	/m/0c5vh	/m/02frhbc	
54	/m/027nb	/m/09nqf	
55	/m/018sg9	/m/04x_3	
56	/m/0713r	/m/026vcc	
57	/m/08wr3kg	/m/02r1c18	
58	/m/01zq91	/m/035qy	
59	/m/033tln	/m/09c7w0	
60	/m/02l6dy	/m/02sb1w	
61	/m/04jpl	/m/04n6k	
62	/m/0155w	/m/016s_5	
63	/m/0c3ybss	/m/05r4w	
64	/m/0gq_v	/m/04z_x4v	
65	/m/0fbtbt	/m/0c7t58	
66	/m/06449	/m/01c72t	
67	/m/026390q	/m/09c7w0	
68	/m/024lt6	/m/04h9h	
69	/m/086sj	/m/0gqwc	
70	/m/06ncr	/m/07m4c	
71	/m/08815	/m/01zc2w	
72	/m/0mbql	/m/05b4w	
73	/m/06lvlf	/m/01vw26l	
74	/m/01g04k	/m/0nbcg	
75	/m/0301bq	/m/09qvc0	
76	/m/09728	/m/02kb_jm	
77	/m/046b0s	/m/01n7q	
78	/m/0283d	/m/03xl77	
79	/m/0hv81	/m/0ch6mp2	
80	/m/05szp	/m/02zsn	
81	/m/0g4pl7z	/m/06bnz	
82	/m/0564mx	/m/0524b41	
83	/m/03nfnx	/m/09nqf	
84	/m/0c408_	/m/014zfs	
85	/m/015cbq	/m/02hrh1q	
86	/m/05h43ls	/m/070j61	
87	/m/01rnly	/m/09c7w0	
88	/m/0407yj_	/m/03ryn	
89	/m/02qvl7	/m/0j6tr	
90	/m/09p2r9	/m/0mz73	
91	/m/028dcg	/m/078bz	
92	/m/073x6y	/m/0p7vt	
93	/m/03zyvw	/m/02lg3y	
94	/m/07j8r	/m/01ts_3	
95	/m/07z1m	/m/01stj9	
96	/m/0sjqm	/m/08mbj5d	
97	/m/03g5jw	/m/02r3zy	
98	/m/02rzdcp	/m/0gd_b_	
99	/m/016zp5	/m/02x73k6	
100	/m/0bp_b2	/m/02qkq0	
101	/m/0206k5	/m/01pd60	
102	/m/05dbf	/m/08mbj5d	
103	/m/04m_zp	/m/07z2lx	
104	/m/024qqx	/m/0pc62	
105	/m/0bq3x	/m/051ys82	
106	/m/0693l	/m/02g3ft	
107	/m/0266sb_	/m/02_j1w	
108	/m/02pprs	/m/01lf293	
109	/m/0cm2xh	/m/083q7	
110	/m/03rhqg	/m/03f0fnk	
111	/m/01795t	/m/0g0x9c	
112	/m/01c9jp	/m/01vrz41	
113	/m/07h1tr	/m/071jv5	
114	/m/0443y3	/m/01g63y	
115	/m/0gfq9	/m/0cdbq	
116	/m/0177s6	/m/02jknp	
117	/m/02zd460	/m/0c6g1l	
118	/m/0bkj86	/m/05r79	
119	/m/0154qm	/m/07vc_9	
120	/m/03sb38	/m/0cwfgz	
121	/m/0by17xn	/m/02n4kr	
122	/m/03bwzr4	/m/07vfj	
123	/m/072192	/m/02cqbx	
124	/m/016kjs	/m/0dz3r	
